,ad title,link,year of construction,fuel,transmission,vehicle type,mileage (km)
26,Opel Zafira Tourer 1.4 Cosmo met geïntegreerde Fietsendrage,marktplaats.nl/v/auto-s/opel/m2065169524-opel-zafira-tourer-1-4-cosmo-met-geintegreerde-fietsendrage,2012.0,Benzine ,Handgeschakeld ,MPV ,144997.0
27,Opel Verkopen? | Auto Inkoop | Schadeauto Verkopen | EXPORT,marktplaats.nl/v/auto-s/opel/a1175702733-opel-verkopen-auto-inkoop-schadeauto-verkopen-export,,,,,
28,Opel Corsa 1.2 EcoFlex Selection 2014 Airco|APK|Netjes,marktplaats.nl/v/auto-s/opel/m2062835684-opel-corsa-1-2-ecoflex-selection-2014-airco-apk-netjes,2010.0,Benzine ,Handgeschakeld ,Hatchback ,120258.0
29,Opel Mokka X 1.4 Turbo Innovation NAVIGATIE CRUISE CONTROLE,marktplaats.nl/v/auto-s/opel/m2060248851-opel-mokka-x-1-4-turbo-innovation-navigatie-cruise-controle,2019.0,Benzine ,Automaat ,SUV of Terreinwagen ,48405.0
30,Opel Astra 1.6 Cabrio Bertone met Karakter - opknapper,marktplaats.nl/v/auto-s/opel/m2065698552-opel-astra-1-6-cabrio-bertone-met-karakter-opknapper,1999.0,Benzine ,Automaat ,Cabriolet ,192025.0
31,Opel Astra 1.4 Turbo Sport Edition- Navi / Clima /Spiegel Pa,marktplaats.nl/v/auto-s/opel/m2055766410-opel-astra-1-4-turbo-sport-edition-navi-clima-spiegel-pa,2011.0,Benzine ,Handgeschakeld ,Hatchback ,201555.0
32,Opel Astra Sports Tourer 1.4 Turbo Business Edition- Full Ma,marktplaats.nl/v/auto-s/opel/m2065661901-opel-astra-sports-tourer-1-4-turbo-business-edition-full-ma,2012.0,Benzine ,Handgeschakeld ,Stationwagon ,250780.0
33,Opel Astra Sports Tourer 1.4 Turbo Business Edition- Vanaf,marktplaats.nl/v/auto-s/opel/m2062896561-opel-astra-sports-tourer-1-4-turbo-business-edition-vanaf,2012.0,Benzine ,Handgeschakeld ,Stationwagon ,250780.0
34,Opel Vivaro Bestelbus L1 H1 2019 Diesel Handgeschakeld,marktplaats.nl/v/auto-s/opel/a1472747003-opel-vivaro-bestelbus-l1-h1-2019-diesel-handgeschakeld,2019.0,Diesel ,Handgeschakeld ,,147216.0
35,Opel Vivaro Dubbel cabine L3 H1 2021 Diesel Handgeschakeld,marktplaats.nl/v/auto-s/opel/a1495986539-opel-vivaro-dubbel-cabine-l3-h1-2021-diesel-handgeschakeld,2021.0,Diesel ,Handgeschakeld ,,94624.0
36,Opel Vivaro Bestelbus L2 H1 2018 Diesel Handgeschakeld,marktplaats.nl/v/auto-s/opel/a1488390578-opel-vivaro-bestelbus-l2-h1-2018-diesel-handgeschakeld,2018.0,Diesel ,Handgeschakeld ,,169184.0
37,Opel Movano Verkoopwagen L5 H1 2014 Diesel Handgeschakeld,marktplaats.nl/v/auto-s/opel/a1493371679-opel-movano-verkoopwagen-l5-h1-2014-diesel-handgeschakeld,2014.0,Diesel ,Handgeschakeld ,,102204.0
38,Opel Astra 1.4 Turbo Cosmo Vanaf €119 Per Maand (bj 2012),marktplaats.nl/v/auto-s/opel/m2062895930-opel-astra-1-4-turbo-cosmo-vanaf-119-per-maand-bj-2012,2012.0,Benzine ,Handgeschakeld ,Hatchback ,150513.0
39,Opel Grandland 1.2 TURBO BUSINESS EXECUTIVE AUTOMAAT Nr. 041,marktplaats.nl/v/auto-s/opel/a1496602805-opel-grandland-1-2-turbo-business-executive-automaat-nr-041,2018.0,Benzine ,Automaat ,SUV of Terreinwagen ,
40,"Opel Corsa 1.6 Turbo 207pk OPC | Recaro - Leder € 16.990,0",marktplaats.nl/v/auto-s/opel/m2064236136-opel-corsa-1-6-turbo-207pk-opc-recaro-leder-16-990-0,2015.0,Benzine ,Handgeschakeld ,Hatchback ,93159.0
41,Opel Astra 1.4 Turbo Cosmo Leder Sport Interieur / Navi / Cl,marktplaats.nl/v/auto-s/opel/m2059755313-opel-astra-1-4-turbo-cosmo-leder-sport-interieur-navi-cl,2012.0,Benzine ,Handgeschakeld ,Hatchback ,150513.0
42,Opel Corsa 1.2 Elegance / Camera / Panorama Dak (bj 2021),marktplaats.nl/v/auto-s/opel/m2065681548-opel-corsa-1-2-elegance-camera-panorama-dak-bj-2021,2021.0,Benzine ,Handgeschakeld ,Hatchback ,82987.0
43,Opel Astra Sports Tourer 1.4 Edition | Airco | Cruise Contro,marktplaats.nl/v/auto-s/opel/m2057245155-opel-astra-sports-tourer-1-4-edition-airco-cruise-contro,2011.0,Benzine ,Handgeschakeld ,Stationwagon ,204580.0
44,Opel Corsa Electric 50 kWh GS 3 fase . Opel Corsa-e F 40 Jah,marktplaats.nl/v/auto-s/opel/m2058702149-opel-corsa-electric-50-kwh-gs-3-fase-opel-corsa-e-f-40-jah,2022.0,Elektrisch ,Automaat ,Hatchback ,140.0
45,Opel Corsa 1.4 Innovation Full Option,marktplaats.nl/v/auto-s/opel/m2055810909-opel-corsa-1-4-innovation-full-option,2018.0,Benzine ,Handgeschakeld ,Hatchback ,35662.0
46,Opel ADAM 1.4 TURBO ROCKS S,marktplaats.nl/v/auto-s/opel/m2064325786-opel-adam-1-4-turbo-rocks-s,2017.0,Benzine ,Handgeschakeld ,Hatchback ,102919.0
47,Opel Ampera-e Business Executive 60 KWH Automaat Nr. 051,marktplaats.nl/v/auto-s/opel/a1482453489-opel-ampera-e-business-executive-60-kwh-automaat-nr-051,2018.0,Elektrisch ,Automaat ,MPV ,106966.0
48,Opel Astra 1.4 Turbo Sport airco LM 2011 grijs,marktplaats.nl/v/auto-s/opel/m2065633675-opel-astra-1-4-turbo-sport-airco-lm-2011-grijs,2011.0,Benzine ,Handgeschakeld ,Hatchback ,183016.0
49,Opel Vectra Wagon 2.2-16V Comfort airco trekhaak org NL 2005,marktplaats.nl/v/auto-s/opel/m2065631902-opel-vectra-wagon-2-2-16v-comfort-airco-trekhaak-org-nl-2005,2005.0,Benzine ,Handgeschakeld ,Stationwagon ,226106.0
50,Opel Corsa 1.2-16V Design Edition | Airco | LMV | 5 Deuren |,marktplaats.nl/v/auto-s/opel/m2059997463-opel-corsa-1-2-16v-design-edition-airco-lmv-5-deuren,2013.0,Benzine ,Handgeschakeld ,Hatchback ,82416.0
51,Opel Zafira 2.2 Temptation PANO/7PERSOONS/NL AUTO !,marktplaats.nl/v/auto-s/opel/m2065237028-opel-zafira-2-2-temptation-pano-7persoons-nl-auto,2007.0,Benzine ,Handgeschakeld ,MPV ,133192.0
52,Opel Insignia Sports Tourer 2.0 CDTI EcoFLEX Business+,marktplaats.nl/v/auto-s/opel/m2065502980-opel-insignia-sports-tourer-2-0-cdti-ecoflex-business,2013.0,Diesel ,Handgeschakeld ,Stationwagon ,228610.0
53,Opel Astra Sports Tourer 1.0 Turbo 120 Jaar Edition | Navi |,marktplaats.nl/v/auto-s/opel/m2055799918-opel-astra-sports-tourer-1-0-turbo-120-jaar-edition-navi,2019.0,Benzine ,Handgeschakeld ,Stationwagon ,106269.0
54,Opel Insignia Sports Tour 1.6 Turbo Ecotec 180pk 2009 Zwart,,2009.0,Benzine ,Handgeschakeld ,Stationwagon ,155000.0
55,Opel Vivaro Bestelbus L1 H1 2019 Diesel Handgeschakeld,marktplaats.nl/v/auto-s/opel/a1472747003-opel-vivaro-bestelbus-l1-h1-2019-diesel-handgeschakeld,2019.0,Diesel ,Handgeschakeld ,,147216.0
56,Opel Astra Sports Tourer 1.6 Turbo GT|GEREVISEERDE AUTOMAATB,marktplaats.nl/v/auto-s/opel/m2058149300-opel-astra-sports-tourer-1-6-turbo-gt-gereviseerde-automaatb,2011.0,Benzine ,Automaat ,Stationwagon ,102604.0
57,"Opel Corsa 1.2 16V 5D Easytronic 2008 Blauw, Autotmaat",marktplaats.nl/v/auto-s/opel/m2025601120-opel-corsa-1-2-16v-5d-easytronic-2008-blauw-autotmaat,2008.0,Benzine ,Automaat ,Hatchback ,222000.0
58,Opel Meriva 1.4 Turbo Cosmo Leer,marktplaats.nl/v/auto-s/opel/m2065070690-opel-meriva-1-4-turbo-cosmo-leer,2015.0,Benzine ,Handgeschakeld ,MPV ,99987.0
59,Opel Astra 1.4 Turbo 150pk vol opties!,marktplaats.nl/v/auto-s/opel/m2065422964-opel-astra-1-4-turbo-150pk-vol-opties,2016.0,Benzine ,Automaat ,Hatchback ,101400.0
60,Opel Agila 1.2 Edition | Airco | Trekhaak | Elektrische rame,marktplaats.nl/v/auto-s/opel/m2060975278-opel-agila-1-2-edition-airco-trekhaak-elektrische-rame,2009.0,Benzine ,Handgeschakeld ,Hatchback ,96934.0
61,Opel Astra 1.4 74KW ST 2012 Wit,marktplaats.nl/v/auto-s/opel/m2065323321-opel-astra-1-4-74kw-st-2012-wit,2012.0,Benzine ,Handgeschakeld ,Stationwagon ,178790.0
62,Opel Insignia 165pk OPC Line Automaat Full Option,marktplaats.nl/v/auto-s/opel/m2058129672-opel-insignia-165pk-opc-line-automaat-full-option,2017.0,Benzine ,Automaat ,Hatchback ,49350.0
63,Opel Vivaro Dubbel cabine L3 H1 2021 Diesel Handgeschakeld,marktplaats.nl/v/auto-s/opel/a1495986539-opel-vivaro-dubbel-cabine-l3-h1-2021-diesel-handgeschakeld,2021.0,Diesel ,Handgeschakeld ,,94624.0
64,Opel Grandland X 1.2 Turbo 130PK Automaat Clima Cruise Navi,marktplaats.nl/v/auto-s/opel/m2062137064-opel-grandland-x-1-2-turbo-130pk-automaat-clima-cruise-navi,2019.0,Benzine ,Automaat ,SUV of Terreinwagen ,104207.0
65,Opel Astra 1.4 Turbo 140PK | Airco Cruise PDC Camera Navigat,marktplaats.nl/v/auto-s/opel/m2059766070-opel-astra-1-4-turbo-140pk-airco-cruise-pdc-camera-navigat,2013.0,Benzine ,Handgeschakeld ,Stationwagon ,161173.0
66,Opel Insignia 1.8 103KW 4-DRS 2009 Grijs,marktplaats.nl/v/auto-s/opel/m2065193811-opel-insignia-1-8-103kw-4-drs-2009-grijs,2009.0,Benzine ,Handgeschakeld ,Sedan ,171200.0
